id	status	bucket	n_species	n_generic	elem_imbalance	charge_imbalance	is_transport
rxn00160	OK	OK	5	0		0.0	0
rxn00161	OK	OK	5	0		0.0	0
rxn00162	OK	OK	4	0		0.0	0
rxn00163	OK	OK	5	0		0.0	0
rxn00164	OK	OK	4	0		0.0	0
rxn00165	OK	OK	3	0		0.0	0
rxn00166	OK	OK	3	0		0.0	0
rxn00168	OK	OK	4	0		0.0	0
rxn00170	OK	OK	5	0		0.0	0
rxn00171	OK	OK	6	0		0.0	0
rxn00172	OK	OK	6	0		0.0	0
rxn00173	OK	OK	4	0		0.0	0
rxn00174	OK	OK	4	0		0.0	0
rxn00175	OK	OK	7	0		0.0	0
rxn00176	OK	OK	5	0		0.0	0
rxn00177	OK	OK	3	0		0.0	0
rxn00178	OK	OK	3	0		0.0	0
rxn00179	OK	OK	4	0		0.0	0
rxn00180	OK	OK	4	0		0.0	0
rxn00181	OK	OK	4	0		0.0	0
rxn00182	OK	OK	7	0		0.0	0
rxn00183	OK	OK	6	0		0.0	0
rxn00184	OK	OK	7	0		0.0	0
rxn00185	OK	OK	6	0		0.0	0
rxn00186	OK	OK	7	0		0.0	0
rxn00187	OK	OK	7	0		0.0	0
rxn00188	OK	OK	6	0		0.0	0
rxn00189	OK	OK	4	0		0.0	0
rxn00190	OK	OK	9	0		0.0	0
rxn00191	OK	OK	4	0		0.0	0
rxn00192	OK	OK	5	0		0.0	0
rxn00193	OK	OK	2	0		0.0	0
rxn00194	OK	OK	4	0		0.0	0
rxn00195	OK	OK	2	0		0.0	0
rxn00196	OK	OK	6	0		0.0	0
rxn00197	OK	OK	6	0		0.0	0
rxn00198	OK	OK	5	0		0.0	0
rxn00199	OK	OK	4	0		0.0	0
rxn00200	OK	OK	4	0		0.0	0
rxn00201	OK	OK	4	0		0.0	0
rxn00202	OK	OK	6	0		0.0	0
rxn00203	OK	OK	4	0		0.0	0
rxn00204	OK	OK	5	0		0.0	0
rxn00205	CI:-2	OK	5	0		0.0	0
rxn00206	CI:2	OK	3	0		0.0	0
rxn00207	OK	OK	6	0		0.0	0
rxn00208	OK	OK	6	0		0.0	0
rxn00209	OK	OK	4	0		0.0	0
rxn00210	OK	OK	6	0		0.0	0
rxn00211	OK	OK	6	0		0.0	0
rxn00212	OK	OK	5	0		0.0	0
rxn00213	OK	OK	4	0		0.0	0
rxn00214	OK	OK	2	0		0.0	0
rxn00215	OK	OK	3	0		0.0	0
rxn00216	OK	OK	5	0		0.0	0
rxn00217	OK	OK	5	0		0.0	0
rxn00218	OK	OK	5	0		0.0	0
rxn00219	OK	OK	4	0		0.0	0
rxn00220	OK	OK	4	0		0.0	0
rxn00221	OK	OK	4	0		0.0	0
rxn00222	OK	OK	3	0		0.0	0
rxn00223	OK	OK	2	0		0.0	0
rxn00224	OK	OK	4	0		0.0	0
rxn00225	OK	OK	4	0		0.0	0
rxn00226	OK	OK	4	0		0.0	0
rxn00227	OK	OK	5	0		0.0	0
rxn00228	OK	OK	5	0		0.0	0
rxn00229	OK	OK	5	0		0.0	0
rxn00230	OK	OK	4	0		0.0	0
rxn00231	OK	OK	4	0		0.0	0
rxn00232	OK	OK	5	0		0.0	0
rxn00233	OK	OK	5	0		0.0	0
rxn00234	OK	OK	3	0		0.0	0
rxn00235	OK	OK	5	0		0.0	0
rxn00236	OK	OK	5	0		0.0	0
rxn00237	OK	OK	4	0		0.0	0
rxn00238	OK	A_no_formula	4	2	"{""O"": -3.0, ""P"": -1.0}"	0.0	0
rxn00239	OK	OK	5	0		0.0	0
rxn00240	OK	A_no_formula	5	2	"{""O"": 3.0, ""P"": 1.0}"	0.0	0
rxn00241	OK	OK	5	0		0.0	0
rxn00242	OK	OK	4	0		0.0	0
rxn00243	OK	OK	4	0		0.0	0
rxn00244	OK	OK	5	0		0.0	0
rxn00245	OK	OK	3	0		0.0	0
rxn00247	OK	OK	5	0		0.0	0
rxn00248	OK	OK	5	0		0.0	0
rxn00249	OK	OK	5	0		0.0	0
rxn00250	OK	OK	7	0		0.0	0
rxn00251	OK	OK	6	0		0.0	0
rxn00252	OK	OK	5	0		0.0	0
rxn00253	OK	OK	3	0		0.0	0
rxn00254	OK	OK	4	0		0.0	0
rxn00255	OK	OK	3	0		0.0	0
rxn00256	OK	OK	6	0		0.0	0
rxn00257	OK	OK	7	0		0.0	0
rxn00258	OK	OK	4	0		0.0	0
rxn00259	OK	OK	3	0		0.0	0
rxn00260	OK	OK	4	0		0.0	0
rxn00261	CI:5	E_charge_only	6	0		4.0	0
rxn00262	OK	OK	6	0		0.0	0
rxn00263	OK	OK	6	0		0.0	0
rxn00264	OK	OK	4	0		0.0	0
rxn00265	OK	OK	3	0		0.0	0
